Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
ZNF345	19q13.12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ANKK1	11q23.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GRAP2	22q13.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SLX4IP	20p12.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PNISR	6q16.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
NPR3	5p13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
MANSC1	12p13.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CAPN3	15q15.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
COG7	16p12.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
UBXN11	1p36.11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
MAPK8IP1	11p11.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
OR10A2	11p15.4	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PUS7L	12q12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
IL17RE	3p25.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
P2RY2	11q13.4	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CD53	1p13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CDH11	16q21	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF280A	22q11.22	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
IRX1	5p15.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SMG8	17q22	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
DCAF16	4p15.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CHRNA1	2q31.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
BBS7	4q27	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
NAT10	11p13	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SH3PXD2A	10q24.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SERPINB5	18q21.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
RASIP1	19q13.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
OCIAD2	4p11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
KRTAP5-1	11p15.5	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PIK3CD	1p36.22	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SOHLH2	13q13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CCDC110	4q35.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PKD2L2	5q31.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CRHBP	5q13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
POU6F1	12q13.13	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CRYBA4	22q12.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
DHTKD1	10p14	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
LYPD3	19q13.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF823	19p13.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GIT2	12q24.11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PRDM14	8q13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CTSV	9q22.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GALNT18	11p15.4	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PRKD1	14q12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
STKLD1	9q34.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TXNDC11	16p13.13	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CCDC150	2q33.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
DDX5	17q23.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SMOC2	6q27	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
DIAPH1	5q31.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PTCH1	9q22.32	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
HS3ST2	16p12.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
KCTD3	1q41	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
DNM1	9q34.11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
WDR47	1p13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SLC4A11	20p13	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
RTP5	2q37.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
DVL3	3q27.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
EHHADH	3q27.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SLC15A3	11q12.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF701	19q13.41	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CEP152	15q21.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ERMARD	6q27	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SLC41A2	12q23.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SAMD4A	14q22.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
WDR75	2q32.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ERG	21q22.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ETS2	21q22.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CAND2	3p25.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ACSL3	2q36.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SALL2	14q11.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FCGR3A	1q23.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
WASF2	1p36.11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ATXN2	12q24.12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FGB	4q31.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
DDN	12q13.12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TOGARAM1	14q21.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FGR	1p35.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF395	8p21.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FOXM1	12p13.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PRICKLE2	3p14.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
RCAN2	6p12.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SIM2	21q22.13	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GABRG3	15q12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GATA2	3q21.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GGT5	22q11.23	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
BICD2	9q22.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
NT5DC2	3p21.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
UBR3	2q31.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ESYT1	12q13.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
RTEL1	20q13.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CIB3	19p13.11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GPR32	19q13.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
STC1	8p21.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GSS	20q11.22	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SPATA21	1p36.13	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
KDF1	1p36.11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PLIN5	19p13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PIP5K1C	19p13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CPA5	7q32.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
BTNL2	6p21.32	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CARMIL2	16q22.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
GPAT3	4q21.23	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SYTL3	6q25.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TGFBR2	3p24.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TRBV6-4	7q34	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TRBV2	7q34	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TMPRSS2	21q22.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
EEPD1	7p14.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PRKD3	2p22.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TSC1	9q34.13	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SERAC1	6q25.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
IARS	9q22.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
IBSP	4q22.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FRMD5	15q15.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ARHGAP19	10q24.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ASAH2	10q11.23	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
AVIL	12q14.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
UGT8	4q26	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SEC24A	5q31.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
OR8J3	11q12.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ILF3	19p13.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SHISAL1	22q13.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SHANK3	22q13.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZAP70	2q11.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZFP37	9q32	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
OR4P4	11q11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF12	7p22.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF221	19q13.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
JAK1	1p31.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF180	19q13.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
CNMD	13q14.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
HNRNPUL1	19q13.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FAM83D	20q11.23	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TMEM255B	13q34	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ST6GALNAC5	1p31.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
LNPEP	5q15	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SCN5A	3p22.2	53 (24.54%)	26 (17.22%)	0.51	0.0597	0.324	Co-occurrence	
THSD7A	7p21.3	26 (12.04%)	10 (6.62%)	0.86	0.0601	0.324	Co-occurrence	
OR4N2	14q11.2	26 (12.04%)	10 (6.62%)	0.86	0.0601	0.324	Co-occurrence	
PRLR	5p13.2	26 (12.04%)	10 (6.62%)	0.86	0.0601	0.324	Co-occurrence	
ZSWIM2	2q32.1	26 (12.04%)	10 (6.62%)	0.86	0.0601	0.324	Co-occurrence	
ADAMTSL3	15q25.2	26 (12.04%)	10 (6.62%)	0.86	0.0601	0.324	Co-occurrence	
PDE1C	7p14.3	33 (15.28%)	14 (9.27%)	0.72	0.0607	0.324	Co-occurrence	
COL12A1	6q13-q14.1	33 (15.28%)	14 (9.27%)	0.72	0.0607	0.324	Co-occurrence	
SLIT3	5q34-q35.1	38 (17.59%)	17 (11.26%)	0.64	0.0624	0.324	Co-occurrence	
ALPK3	15q25.3	24 (11.11%)	9 (5.96%)	0.90	0.0632	0.324	Co-occurrence	
SDK2	17q25.1	24 (11.11%)	9 (5.96%)	0.90	0.0632	0.324	Co-occurrence	
PLA2R1	2q24.2	24 (11.11%)	9 (5.96%)	0.90	0.0632	0.324	Co-occurrence	
GRM6	5q35.3	24 (11.11%)	9 (5.96%)	0.90	0.0632	0.324	Co-occurrence	
GUCY1A1	4q32.1	24 (11.11%)	9 (5.96%)	0.90	0.0632	0.324	Co-occurrence	
OR6C3	12q13.2	4 (1.85%)	8 (5.30%)	-1.52	0.0643	0.324	Mutual exclusivity	
KCNB2	8q21.11	51 (23.61%)	25 (16.56%)	0.51	0.0645	0.324	Co-occurrence	
MUC2	11p15.5	31 (14.35%)	13 (8.61%)	0.74	0.0648	0.324	Co-occurrence	
BRINP1	9q33.1	31 (14.35%)	13 (8.61%)	0.74	0.0648	0.324	Co-occurrence	
SEZ6L	22q12.1	31 (14.35%)	13 (8.61%)	0.74	0.0648	0.324	Co-occurrence	
TUBA3D	2q21.1	5 (2.31%)	9 (5.96%)	-1.36	0.0657	0.324	Mutual exclusivity	
USP6	17p13.2	22 (10.19%)	8 (5.30%)	0.94	0.0662	0.324	Co-occurrence	
PDE3A	12p12.2	22 (10.19%)	8 (5.30%)	0.94	0.0662	0.324	Co-occurrence	
LRRK2	12q12	22 (10.19%)	8 (5.30%)	0.94	0.0662	0.324	Co-occurrence	
DGKB	7p21.2	22 (10.19%)	8 (5.30%)	0.94	0.0662	0.324	Co-occurrence	
FBN1	15q21.1	22 (10.19%)	8 (5.30%)	0.94	0.0662	0.324	Co-occurrence	
GABRA6	5q34	22 (10.19%)	8 (5.30%)	0.94	0.0662	0.324	Co-occurrence	
HDC	15q21.2	22 (10.19%)	8 (5.30%)	0.94	0.0662	0.324	Co-occurrence	
GRM3	7q21.11-q21.12	36 (16.67%)	16 (10.60%)	0.65	0.0669	0.324	Co-occurrence	
GPR155	2q31.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
TRAV12-1	14q11.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
MAGEA4	Xq28	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
UBN2	7q34	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
RSPO2	8q23.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SORCS1	10q25.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
UNC5A	5q35.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
MKL2	16p13.12	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
PDZD8	10q25.3-q26.11	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ULK1	12q24.33	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
NRP2	2q33.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
MUC20	3q29	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
PER3	1p36.23	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
FKBP6	7q11.23	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ZSWIM5	1p34.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
KIAA1522	1p35.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
OR52K1	11p15.4	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ALPL	1p36.12	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ALPP	2q37.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ZFP14	19q13.12	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
OR52E8	11p15.4	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
OR52N5	11p15.4	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SFMBT2	10p14	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ZFYVE28	4p16.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
MST1R	3p21.31	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CEP112	17q24.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SH3D19	4q31.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
DNMT3L	21q22.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
NOSTRIN	2q24.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ATP6V0A1	17q21.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
TAF7L	Xq22.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
NEUROD1	2q31.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
NFATC2	20q13.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CD101	1p13.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CA2	8q21.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
NRCAM	7q31.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
KRT23	17q21.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
NCR2	6p21.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
RASGEF1C	5q35.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
IL17RD	3p14.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
WFIKKN2	17q21.33	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
TRPV4	12q24.11	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
KIF26B	1q44	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
LILRA6	19q13.42	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
NXPE1	11q23.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
AKR1C4	10p15.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
OR56A4	11p15.4	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
TAS2R9	12p13.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
PLXNA2	1q32.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CDRT1	17p12	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
LGR4	11p14.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
PON1	7q21.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
GPR142	17q25.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SOX6	11p15.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CACNG5	17q24.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
KIF27	9q21.32	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
KRTAP5-5	11p15.5	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CYP2E1	10q26.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ZBTB39	12q13.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ADNP2	18q23	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
RBM26	13q31.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
OR8J1	11q12.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ZNF365	10q21.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
PTGFRN	1p13.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
PTPRE	10q26.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SEMA4A	1q22	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CHAF1A	19p13.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
NLRX1	11q23.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SH2D3C	9q34.11	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
PDCD11	10q24.33	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
GMIP	19p13.11	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
ABCC5	3q27.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
C1QTNF9B	13q12.12	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
RNASEL	1q25.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
GPC6	13q31.3-q32.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CCDC7	10p11.22	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
TBC1D9B	5q35.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
FCN1	9q34.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
GPC4	Xq26.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CTTNBP2NL	1p13.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
MAPK8IP3	16p13.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
C3ORF56	3q21.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
AJAP1	1p36.32	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SLC1A2	11p13	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
RIN3	14q32.12	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
KHDC3L	6q13	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SLC18A1	8p21.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
GDF10	10q11.22	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SMO	7q32.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
LPIN3	20q12	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CASD1	7q21.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
OR1I1	19p13.12	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
DHX36	3q25.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
PIWIL3	22q11.23	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SPTBN1	2p16.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CD244	1q23.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
VPS33A	12q24.31	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
OR4D11	11q12.1	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
GRIN2D	19q13.33	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
SIK3	11q23.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
GTF3C2	2p23.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
USP32	17q23.1-q23.2	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
CREB3L3	19p13.3	10 (4.63%)	2 (1.32%)	1.81	0.0687	0.324	Co-occurrence	
