Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
TMPRSS12	12q13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RAB27A	15q21.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RALGPS1	9q33.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RARRES3	11q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RCOR2	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RDH11	14q24.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RDH12	14q24.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RDX	11q22.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
REV1	2q11.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RMI2	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL213P	14q24.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL310P	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL369P	14q24.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL457P	8p12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL493P	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL519P	12q13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL596P	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL743P	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RN7SL810P	13q22.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP315	10q11.22	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP397	15q22.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP403	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP404	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP454	18q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP455	18q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP456	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP457	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNA5SP458	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNF165	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNF219	13q31.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNY1P5	13q22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNY1P8	13q22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RNY3P3	13q22.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RPL12	9q33.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RPL17	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RSL1D1	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
RTN3	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ABAT	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ACAA2	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ACVRL1	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
AFF3	2q11.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ANGPTL2	9q33.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ANKRD33	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ARG2	14q24.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ATF7IP2	16p13.2-p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ATL3	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ATP5F1A	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ATP6V1D	14q23.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
BCAR4	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
BEX5	Xq22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
C11ORF84	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
C11ORF95	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
C16ORF72	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
C18ORF25	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
C18ORF32	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CARHSP1	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CCPG1	15q21.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CDKN2B	9p21.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CELF4	18q12.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CFAP53	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CIITA	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CLEC16A	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
COX8A	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CPPED1	16p13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CSRNP2	12q13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CTIF	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
CXXC1	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
DCC	18q21.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
DEXI	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
DIS3	13q21.33	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
DYM	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
EBF2	8p21.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
EDNRB	13q22.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
EMP2	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ERCC4	16p13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
FAM25C	10q11.22	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
FBXL21	5q31.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LECT2	5q31.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LETMD1	12q13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LGALS12	11q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LINC00327	13q12.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LINC00331	13q31.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LINC00352	13q12.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LINC00381	13q22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LINC00392	13q22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LINC00393	13q22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LINC00402	-	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LINC00446	13q22.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LIPG	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LITAF	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LOXHD1	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
LRSAM1	9q33.3-q34.11	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MACROD1	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MAPK4	18q21.1-q21.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MARK2	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MBD1	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
METTL22	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
METTL7A	12q13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR1539	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR193B	16p13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR3152	9p22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR4319	18q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR4486	11p15.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR4527	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR4694	11p15.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR4718	16p13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR4743	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR4744	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR548H2	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MIR924HG	18q12.2-q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MKL2	16p13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MS4A1	11q12.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MS4A12	11q12.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MS4A13	11q12.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MS4A5	11q12.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
MYO5B	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
NAA40	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
NAV2	11p15.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
NUBP1	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
OTUB1	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PIAS2	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PIBF1	13q21.33-q22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PIGB	15q21.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PIK3C3	18q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PLA2G16	11q12.3-q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PMM2	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
POU4F1	13q31.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
POU6F1	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PRM1	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PRM2	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
PRM3	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
WDR70	5p13.2	6 (2.79%)	8 (5.26%)	-0.92	0.173	0.659	Mutual exclusivity	
SLC1A3	5p13.2	6 (2.79%)	8 (5.26%)	-0.92	0.173	0.659	Mutual exclusivity	
SLC25A17	22q13.2	6 (2.79%)	8 (5.26%)	-0.92	0.173	0.659	Mutual exclusivity	
ST13	22q13.2	6 (2.79%)	8 (5.26%)	-0.92	0.173	0.659	Mutual exclusivity	
RGS4	1q23.3	6 (2.79%)	8 (5.26%)	-0.92	0.173	0.659	Mutual exclusivity	
RNA5SP180	5p15.1	6 (2.79%)	8 (5.26%)	-0.92	0.173	0.659	Mutual exclusivity	
DNAJB7	22q13.2	6 (2.79%)	8 (5.26%)	-0.92	0.173	0.659	Mutual exclusivity	
MIR4766	22q13.2	6 (2.79%)	8 (5.26%)	-0.92	0.173	0.659	Mutual exclusivity	
TNFAIP8L2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
TOMM22	22q13.1	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
TPM3	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
TRIM46	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
UBAP2L	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
UBE2Q1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
VPS72	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
ZBTB7B	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
FLAD1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
FLG	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
FLG2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
GABPB2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
GATAD2B	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
GBA	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
GBAP1	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
HAX1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
INTS3	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
JOSD1	22q13.1	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
JTB	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
KRTCAP2	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SCNM1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SEMA6C	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SETDB1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SGSM3	22q13.1	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SHC1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SLC27A3	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SLC39A1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SLC50A1	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
TDRD10	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
THBS3	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
TMOD4	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
PRUNE1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
PYGO2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
RAB13	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
RN7SL372P	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
RN7SL431P	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
RNA5SP62	1q23.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
RNA5SP63	1q23.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
RPS27	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
ADAM15	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
ADAR	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
ADSL	22q13.1	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
ANXA9	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
AQP10	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
ARNT	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
ATP8B2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
BNIPL	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
C1ORF189	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
C1ORF43	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
C1ORF56	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
CDC42SE1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
CERS2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
CHRNB2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
CKS1B	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
CRCT1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
CREB3L4	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
CRNN	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
CRTC2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
DCST1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
DCST2	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
DENND4B	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
DLG2	11q14.1	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
DPM3	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
EFNA1	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
EFNA3	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
EFNA4	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
ETV3	1q23.1	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
MINDY1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
LCE5A	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
LENEP	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
LYSMD1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
MIR190B	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
MIR4258	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
MIR5698	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
MIR92B	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
MLLT11	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
MTX1	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
MUC1	1q22	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
NUF2	1q23.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
NUP210L	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
PBXIP1	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
PIP5K1A	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
POGZ	1q21.3	5 (2.33%)	7 (4.61%)	-0.99	0.181	0.659	Mutual exclusivity	
SYT14	1q32.2	11 (5.12%)	4 (2.63%)	0.96	0.181	0.659	Co-occurrence	
MIR1537	1q42.3	11 (5.12%)	4 (2.63%)	0.96	0.181	0.659	Co-occurrence	
TTC24	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
UBQLN4	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
YY1AP1	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
GON4L	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
GPATCH4	1q22-q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
HAPLN2	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
HDGF	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
INSRR	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
IQGAP3	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
ISG20L2	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
LAMTOR2	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
SH2D2A	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
SPTBN2	11q13.2	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
SSR2	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
THEM4	1q21.3	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
QSOX1	1q25.2	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
RAB25	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
RBM14	11q13.2	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
RBM4	11q13.2	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
RBM4B	11q13.2	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
RN7SL12P	11q13.2	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
RN7SL612P	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
RRNAD1	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
S100A10	1q21.3	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
S100A11	1q21.3	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
ACBD6	1q25.2-q25.3	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
NAXE	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
ARHGEF11	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
BCAN	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
CEP350	1q25.2	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
CRABP2	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
DAP3	1q22	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
DMC1	22q13.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
ETV3L	1q23.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
FAM227A	22q13.1	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
FASTKD3	5p15.31	4 (1.86%)	6 (3.95%)	-1.09	0.188	0.659	Mutual exclusivity	
